lang,tone
anal1239,yes
apah1238,no
arap1274,yes
bain1259,no
beja1238,no
bora1263,yes
cabe1245,yes
cash1254,no
dolg1241,no
even1259,no
goem1240,yes
goro1270,yes
guri1247,no
hoch1243,no
jeha1242,no
jeju1234,no
kaka1265,yes
kama1351,no
kark1256,yes
komn1238,no
ligh1234,no
lowe1385,no
movi1243,no
ngal1292,no
nisv1234,no
nngg1234,yes
nort2641,no
nort2875,no
orko1234,no
pnar1238,no
port1286,no
resi1247,yes
ruul1235,no
sadu1234,yes
sanz1248,no
savo1255,no
sout2856,no
sout3282,no
stan1290,no
sumi1235,yes
svan1243,no
taba1259,no
teop1238,no
texi1237,no
toto1304,no
trin1278,no
tsim1256,yes
urum1249,no
vera1241,no
warl1254,no
yong1270,yes
yuca1254,yes
yura1255,no
