"rec_date","rec_date_c","genre","genre_stim","gloss","transl","sound_quality","background_noise","word_tokens","word_tokens_core","extended","lang","spk_code_a","spk_code_b","spk_age_a","spk_age_b","spk_age_c_a","spk_age_c_b","spk_sex_a","spk_sex_b","file"
"2015-12-02","certain","traditional narrative","na","none","English","good","none","337","337","no","anal1239","Ngahring",NA,"80",NA,"certain",NA,"m",NA,"doreco_anal1239_anm_20151216_10_Ngahring_WB_riddles"
"2015-12-02","certain","traditional narrative","na","none","English","medium","punctual","613","613","no","anal1239","Ngahring",NA,"80",NA,"certain",NA,"m",NA,"doreco_anal1239_anm_20152111_Ngahring_PO_55"
"2015-12-02","certain","traditional narrative","na","none","English","medium","punctual","785","785","no","anal1239","Ngahring",NA,"80",NA,"certain",NA,"m",NA,"doreco_anal1239_anm_20152111_Ngahring_PO_56"
"2015-12-03","certain","traditional narrative","na","none","English","good","none","809","809","no","anal1239","Ngahring",NA,"80",NA,"certain",NA,"m",NA,"doreco_anal1239_anm_20152111_Ngahring_PO_61"
"2015-12-03","certain","traditional narrative","na","none","English","good","none","365","365","no","anal1239","Ngahring",NA,"80",NA,"certain",NA,"m",NA,"doreco_anal1239_anm_20152111_Ngahring_WB_dead_woman_and_her_children"
"2015-12-03","certain","traditional narrative","na","none","English","good","none","403","403","no","anal1239","Ngahring",NA,"80",NA,"certain",NA,"m",NA,"doreco_anal1239_anm_20152111_Ngahring_WB_frog_and_jackal"
"2015-12-03","certain","traditional narrative","na","none","English","good","none","163","163","no","anal1239","Ngahring",NA,"80",NA,"certain",NA,"m",NA,"doreco_anal1239_anm_20152111_Ngahring_folkfore_60"
"2016-02-20","certain","personal narrative","na","none","English","medium","none","261","261","no","anal1239","Mohtung",NA,"100",NA,"certain",NA,"m",NA,"doreco_anal1239_anm_20160220_Mohtung_PO_3"
"2016-02-20","certain","personal narrative","na","none","English","medium","none","121","121","no","anal1239","Mohtung",NA,"100",NA,"certain",NA,"m",NA,"doreco_anal1239_anm_20160220_Mohtung_PO_8"
"2016-02-20","certain","traditional narrative","na","none","English","medium","none","96","96","no","anal1239","Mohtung",NA,"100",NA,"certain",NA,"m",NA,"doreco_anal1239_anm_20160220_Mohtung_PO_15"
"2015-12-02","certain","traditional narrative","na","none","English","medium","punctual","1115","1115","no","anal1239","Ngahring",NA,"80",NA,"certain",NA,"m",NA,"doreco_anal1239_anm_20160220_Ngahring_Folkflore_53"
"2015-12-02","certain","traditional narrative","na","none","English","bad","punctual","809","809","no","anal1239","Ngahring",NA,"80",NA,"certain",NA,"m",NA,"doreco_anal1239_anm_20160220_Ngahring_PO_52"
