lang,synthesis
apah1238,1.778
arap1274,2.531
bain1259,2.667
beja1238,2.504
bora1263,2.588
cabe1245,1.645
cash1254,2.248
dolg1241,2.346
even1259,2.698
goem1240,1.316
goro1270,1.583
hoch1243,2.362
jeha1242,1.548
jeju1234,2.075
kaka1265,1.357
kama1351,2.131
komn1238,2.194
movi1243,1.98
ngal1292,3.285
nisv1234,1.783
nngg1234,1.285
nort2641,1.671
nort2875,1.848
orko1234,1.291
pnar1238,1.512
port1286,1.169
ruul1235,2.85
sanz1248,2.678
savo1255,1.767
sout2856,1.697
sout3282,1.227
sumi1235,2.413
taba1259,2.379
teop1238,1.361
texi1237,2.787
toto1304,2.093
trin1278,3.243
urum1249,2.323
vera1241,1.402
