language,lang,family,area,latitude,longitude
Anal,anal1239,Sino-Tibetan,Eurasia,24.05,94.28
Yali (Apahapsili),apah1238,Nuclear Trans New Guinea,Papunesia,-4.08,139.46
Arapaho,arap1274,Algic,North America,43.39,-108.81
Baïnounk Gubëeher,bain1259,Atlantic-Congo,Africa,12.31,-16.06
Beja,beja1238,Afro-Asiatic,Africa,17.24,36.67
Bora,bora1263,Boran,South America,-2,-72.26
Cabécar,cabe1245,Chibchan,North America,9.67,-83.41
Cashinahua,cash1254,Pano-Tacanan,South America,-9.72,-71.17
Dolgan,dolg1241,Turkic,Eurasia,71.11,94.29
Evenki,even1259,Tungusic,Eurasia,61.97,94.69
Goemai,goem1240,Afro-Asiatic,Africa,8.74,9.72
Gorwaa,goro1270,Afro-Asiatic,Africa,-4.24,35.8
Gurindji,guri1247,Pama-Nyungan,Australia,-17.03,130.38
Hoocąk,hoch1243,Siouan,North America,43.5,-88.5
Jahai,jeha1242,Austroasiatic,Eurasia,5.64,101.54
Jejuan,jeju1234,Koreanic,Eurasia,33.38,126.56
Kakabe,kaka1265,Mande,Africa,10.6,-11.44
Kamas,kama1351,Uralic,Eurasia,55.07,94.83
Tabaq (Karko),kark1256,Nubian,Africa,12.05,29.21
Komnzo,komn1238,Yam,Papunesia,-8.65,141.52
Light Warlpiri,ligh1234,Mixed Language,Australia,-18.32,130.63
Lower Sorbian,lowe1385,Indo-European,Eurasia,51.66,13.94
Movima,movi1243,Isolate,South America,-13.81,-65.63
Dalabon,ngal1292,Gunwinyguan,Australia,-13.98,133.94
Nisvai,nisv1234,Austronesian,Papunesia,-16.41,167.79
Nǁng,nngg1234,Tuu,Africa,-29.71,19.08
Northern Kurdish (Kurmanji),nort2641,Indo-European,Eurasia,37,43
Northern Alta,nort2875,Austronesian,Papunesia,15.69,121.45
Fanbyak,orko1234,Austronesian,Papunesia,-16.21,168.21
Pnar,pnar1238,Austroasiatic,Eurasia,24.82,92.26
Daakie,port1286,Austronesian,Papunesia,-16.31,168.05
Resígaro,resi1247,Arawakan,South America,-2.48,-71.36
Ruuli,ruul1235,Atlantic-Congo,Africa,1.42,32.42
Sadu,sadu1234,Sino-Tibetan,Eurasia,24.3,102
Sanzhi Dargwa,sanz1248,Nakh-Daghestanian,Eurasia,41.98,47.57
Savosavo,savo1255,Isolate,Papunesia,-9.13,159.81
Nafsan (South Efate),sout2856,Austronesian,Papunesia,-17.7,168.38
English (Southern England),sout3282,Indo-European,Eurasia,53,-1
French (Swiss),stan1290,Indo-European,Eurasia,48,2
Sümi,sumi1235,Sino-Tibetan,Eurasia,26,94.42
Svan,svan1243,Kartvelian,Eurasia,42.91,42.59
Tabasaran,taba1259,Nakh-Daghestanian,Eurasia,42.02,47.84
Teop,teop1238,Austronesian,Papunesia,-5.67,154.97
Texistepec Popoluca,texi1237,Mixe-Zoque,North America,17.89,-94.81
Totoli,toto1304,Austronesian,Papunesia,1.15,120.88
Mojeño Trinitario,trin1278,Arawakan,South America,-15.33,-65.41
Asimjeeg Datooga,tsim1256,Nilotic,Africa,-3.42,35.43
Urum,urum1249,Turkic,Eurasia,42.04,43.99
Vera'a,vera1241,Austronesian,Papunesia,-13.89,167.43
Warlpiri,warl1254,Pama-Nyungan,Australia,-20.1,131.05
Yongning Na,yong1270,Sino-Tibetan,Eurasia,27.8,100.9
Yucatec Maya,yuca1254,Mayan,North America,18.78,-88.96
Yurakaré,yura1255,Isolate,South America,-16.75,-65.12
